Well,Test number,Top depth,Base depth,Choke size [mm],Final shut-in pressure [MPa],Final flow pressure [MPa],Bottom hole pressure [MPa],Oil [Sm3/day],Gas [Sm3/day],Oil density [g/cm3],Gas grav. rel.air,GOR [m3/m3],Downhole temperature [°C]
2/11-6 S,2.0,3585.0,3706.0,7.9,0.0,0.0,0.0,223,24000,0.863,0.714,106,0
2/11-6 S,3.0,3713.0,3735.0,19.0,0.0,0.0,0.0,921,87000,0.0,0.0,95,0
2/12-1,1.0,4630.0,4647.0,9.5,0.0,0.0,0.0,1051,176000,0.828,0.835,168,0
2/12-1,2.0,4600.0,4612.0,14.3,0.0,0.0,0.0,1629,214000,0.828,0.828,131,0
2/1-3,1.0,3863.0,3872.0,15.9,0.0,0.0,0.0,226,19000,0.82,0.0,150,0
2/1-3,2.0,3838.5,3844.6,12.7,0.0,0.0,0.0,1051,55000,0.83,0.0,116,0
2/1-3,3.0,3819.0,3825.1,12.7,0.0,0.0,0.0,933,39000,0.835,0.0,108,0
2/1-4,1.0,4120.0,4129.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/1-4,2.0,4101.0,4117.0,6.3,0.0,0.0,0.0,182,20000,0.816,0.758,112,0
2/1-4,3.0,4061.0,4087.0,3.2,0.0,0.0,0.0,99,11000,0.823,0.75,115,0
2/1-6,1.0,4328.8,4340.0,25.4,16.0,0.0,0.0,0,0,0.0,0.0,0,0
2/1-6,2.0,4241.0,4210.0,11.1,12.5,0.0,0.0,0,0,0.0,0.0,0,0
2/1-8,1.0,3919.0,3926.0,6.4,0.0,0.0,0.0,305,0,0.826,0.74,99,0
2/1-8,2.0,3900.5,3926.0,11.1,0.0,0.0,0.0,954,0,0.825,0.825,107,0
2/1-9,1.0,4078.0,4108.0,17.4,7.0,0.0,23.6,165,90577,0.0,0.0,549,160
2/2-1,1.0,3715.0,3730.0,11.1,3.0,0.0,51.0,200,0,0.827,0.86,70,136
2/2-2,1.0,1980.0,1988.0,11.2,0.0,0.0,0.0,0,314000,0.0,0.57,0,0
2/2-5,1.0,3666.0,3670.0,7.9,0.0,0.0,0.0,600,0,0.0,0.0,44,141
2/3-1,1.0,1624.0,1637.0,11.5,0.0,0.0,0.0,0,283100,0.0,0.0,0,0
2/3-1,2.0,1588.0,1601.0,11.5,0.0,0.0,0.0,0,50000,0.0,0.0,0,0
2/4-10,1.0,3304.0,3322.0,9.5,11.0,0.0,43.0,586,1180,0.834,0.0,2,0
2/4-10,2.0,3304.0,3309.0,25.4,0.0,0.0,31.0,122,864,0.846,0.856,7,0
2/4-11,1.0,3758.0,3770.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/4-11,2.0,3639.0,3667.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/4-11,3.0,3639.0,3667.0,0.0,0.0,0.0,0.0,8,0,0.0,0.0,0,0
2/4-11,4.0,3188.0,3200.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/4-11,5.0,3146.0,3161.0,0.0,0.0,0.0,0.0,50,1050,0.822,0.0,0,0
2/4-17,1.0,4523.0,4638.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,176
2/4-17,2.0,4341.0,4387.6,15.9,0.0,0.0,0.0,774,849078,0.799,0.735,1097,160
2/4-17,2.1,4340.4,4387.6,0.0,0.0,0.0,0.0,266,0,0.0,0.0,0,0
2/4-17,2.2,4341.0,4387.6,0.0,0.0,0.0,0.0,610,0,0.0,0.0,0,0
2/4-17,2.3,4341.0,4387.6,0.0,0.0,0.0,0.0,597,0,0.0,0.0,0,0
2/4-17,2.4,4341.0,4387.6,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/4-17,2.5,4341.0,4387.6,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/4-17,2.6,4341.0,4387.6,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/4-2,1.0,3160.0,3196.0,25.4,0.0,0.0,0.0,1089,0,0.0,0.0,0,0
2/4-2,2.0,3160.0,3196.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/4-2,3.0,3160.0,3196.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/4-2,4.0,3148.0,3160.0,25.4,0.0,0.0,0.0,170,167067,0.839,0.0,0,0
2/4-3,1.0,3354.0,3363.0,25.4,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/4-3,10.0,3124.0,3224.0,19.0,28.0,0.0,38.0,595,132925,0.859,0.0,0,0
2/4-3,11.0,3015.0,3023.0,25.4,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/4-3,2.0,3332.0,3341.0,25.4,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/4-3,3.0,3317.0,3320.0,19.0,7.3,0.0,27.5,323,58581,0.855,0.0,0,0
2/4-3,4.0,3268.0,3296.0,28.5,0.0,0.0,0.0,328,62967,0.845,0.0,0,0
2/4-3,5.0,3235.0,3244.0,19.0,28.0,0.0,0.0,172,36337,0.853,0.0,0,0
2/4-3,6.0,3195.0,3226.0,6.3,28.5,0.0,46.0,166,35799,0.848,0.0,0,0
2/4-3,7.0,3195.0,3226.0,19.0,28.0,0.0,33.0,609,129812,0.854,0.0,0,0
2/4-3,8.0,3139.0,3148.0,6.0,28.0,0.0,46.0,186,39337,0.847,0.0,0,0
2/4-3,9.0,3124.0,3154.0,25.4,28.0,0.0,20.0,326,79240,0.849,0.0,0,0
2/4-4,1.0,3274.0,3284.0,25.4,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/4-4,2.0,3247.0,3256.0,25.4,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/4-4,3.0,3234.0,3237.0,25.4,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/4-4,4.0,3220.0,3226.0,19.0,27.0,4.0,15.0,168,32488,0.854,0.0,0,0
2/4-4,5.0,3177.0,3201.0,19.0,28.0,6.0,23.0,432,77655,0.848,0.0,0,0
2/4-4,6.0,3163.0,3168.0,19.0,26.0,2.0,9.0,107,26998,0.85,0.0,0,0
2/4-4,7.0,3128.0,3152.0,19.0,28.0,8.0,30.0,600,613800,0.847,0.0,1023,0
2/4-5,1.0,3165.0,3204.0,9.5,29.0,22.0,42.0,701,165696,0.838,0.896,0,0
2/4-5,2.0,3178.0,3187.0,5.6,32.0,23.0,44.0,433,94918,0.842,0.0,0,0
2/4-5,3.0,3107.0,3143.0,19.8,29.0,6.0,20.0,483,111785,0.84,0.0,0,0
2/4-5,4.0,3087.0,3098.0,25.4,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/4-5,5.0,3041.0,3075.0,9.5,25.0,16.0,34.0,411,92060,0.838,0.0,0,0
2/4-5,6.0,3043.0,3076.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/4-6,1.0,3370.0,3375.0,25.4,0.0,0.0,0.0,0,0,0.0,0.0,0,136
2/4-6,2.0,3271.0,3310.0,25.4,0.0,0.0,0.0,568,256736,0.812,0.0,452,0
2/4-6,3.0,3243.0,3246.0,25.4,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/4-6,4.0,3195.0,3216.0,25.4,0.0,0.0,0.0,609,221676,0.819,0.0,364,130
2/4-6,5.0,3125.0,3152.0,25.4,48.0,45.0,45.0,747,402539,0.804,0.0,539,129
2/4-7,1.0,3367.0,3370.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,138
2/4-7,2.0,3346.0,3349.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,139
2/4-7,3.0,3304.0,3329.0,0.0,0.0,0.0,0.0,551,736231,0.0,0.0,0,129
2/4-7,4.0,3250.0,3261.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/4-7,5.0,3176.0,3204.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/4-7,6.0,3176.0,3182.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/4-7,7.0,3189.0,3204.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/4-8,1.0,3194.0,3204.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/4-8,2.0,3185.0,3194.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/4-8,3.0,3181.0,3191.0,12.4,0.0,0.0,0.0,443,707028,0.885,0.0,1596,0
2/4-8,4.0,3194.0,3204.0,25.4,0.0,0.0,0.0,175,326025,0.822,0.0,1863,0
2/4-8,5.0,3091.0,3158.0,6.3,0.0,0.0,0.0,654,1316502,0.821,0.0,2013,0
2/4-8,6.0,3014.0,3042.0,11.1,0.0,0.0,0.0,360,519480,0.82,0.0,1443,0
2/4-8,7.0,2996.0,3002.0,0.0,0.0,0.0,0.0,71,133906,0.0,0.0,1886,0
2/4-9,1.0,3360.0,3369.0,38.0,0.0,0.0,0.0,121,97700,0.802,0.0,801,0
2/4-9,2.0,3308.0,3369.0,9.1,0.0,0.0,0.0,461,455900,0.802,0.0,977,0
2/4-9,3.0,3274.0,3283.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/4-9,4.0,3222.0,3224.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/5-1,1.0,3042.0,3101.0,0.0,0.0,0.0,46.0,209,223212,0.0,0.0,1068,121
2/5-1,2.0,3274.0,3277.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/5-1,4.0,3244.0,3248.0,0.0,0.0,0.0,0.0,425,612000,0.0,0.0,1440,0
2/5-1,5.0,3285.0,3234.0,0.0,0.0,0.0,0.0,145,0,0.0,0.0,0,0
2/5-1,6.0,3225.0,3234.0,0.0,0.0,0.0,0.0,445,0,0.0,0.0,0,0
2/5-1,7.0,3154.0,3191.0,0.0,48.0,0.0,48.0,159,203838,0.0,0.0,1282,0
2/5-1,8.0,3043.0,3056.0,0.0,0.0,0.0,0.0,230,65000,0.0,0.0,0,0
2/5-11,1.0,3381.0,3363.0,19.0,46.24,0.0,0.0,4,0,0.829,0.0,0,131
2/5-11,2.0,3329.0,3289.0,18.1,47.2,0.0,0.0,12,0,0.8,0.0,120,129
2/5-2,1.0,3511.0,3514.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/5-2,2.0,3350.0,3361.0,0.0,0.0,0.0,0.0,165,39643,0.0,0.0,0,0
2/5-2,3.0,3300.0,3315.0,0.0,0.0,0.0,0.0,377,96276,0.0,0.0,0,0
2/5-2,4.0,3166.0,3183.0,0.0,0.0,0.0,0.0,362,0,0.0,0.0,0,0
2/5-2,5.0,3166.0,3183.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/5-2,6.0,3150.0,3188.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/5-3,1.0,3386.0,3395.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
