Well,Test type,Bottle number,Top depth,Base depth,Fluid type,Test time ,Received date,NPDID wellbore
16/2-11 A,MDT ,          ,0.0,2223.0,OIL,2012-04-27 00:00:00,2012-07-19 00:00:00,6849
16/2-12,MDT ,          ,1901.3,0.0,OIL,,2013-01-16 00:00:00,6952
16/2-12,MDT ,          ,1928.3,0.0,OIL,,2013-01-16 00:00:00,6952
16/2-12,MDT ,          ,1940.0,0.0,OIL,,2013-01-16 00:00:00,6952
16/2-13 A,MDT ,          ,2607.54,0.0,OIL,2012-09-21 00:00:00,2012-10-10 00:00:00,7028
16/2-13 A,MDT ,          ,0.0,2596.7,OIL,2012-09-21 00:00:00,2012-10-10 00:00:00,7028
16/2-13 A,MDT ,          ,2608.57,0.0,OIL,2012-09-21 00:00:00,2012-10-10 00:00:00,7028
16/2-13 S,DST ,          ,1948.67,0.0,OIL,2012-08-21 00:00:00,2012-06-24 00:00:00,6888
16/2-13 S,DST ,          ,1925.0,0.0,OIL,2012-08-21 00:00:00,2012-09-24 00:00:00,6888
16/2-13 S,DST ,          ,0.0,1948.67,OIL,2012-08-21 00:00:00,2012-09-24 00:00:00,6888
16/2-15,MDT ,          ,1913.8,0.0,OIL,,2013-03-11 00:00:00,6979
16/2-15,MDT ,          ,1926.9,0.0,OIL,,2013-03-11 00:00:00,6979
16/2-16,MDT ,          ,1951.6,0.0,OIL,2012-12-06 00:00:00,2013-02-07 00:00:00,7047
16/2-16 A,MDT ,          ,0.0,0.0,OIL,,2013-02-07 00:00:00,7107
16/2-17 S,DST ,          ,1937.0,1929.0,OIL,2013-04-29 08:25:00,2013-06-07 00:00:00,7085
16/2-17 S,DST ,          ,1914.5,1875.5,OIL,2013-05-10 10:10:00,2013-06-07 00:00:00,7085
16/2-17 S,MDT ,          ,0.0,1934.5,OIL,,2013-07-25 00:00:00,7085
16/2-17 S,MDT ,          ,0.0,1884.8,OIL,,2013-07-25 00:00:00,7085
16/2-18 S,MDT ,          ,1875.12,0.0,OIL,,2013-12-13 00:00:00,7220
16/2-19,MDT ,          ,1949.03,0.0,OIL,2014-06-16 00:00:00,2014-06-26 00:00:00,7403
16/2-19,MDT ,          ,1945.13,0.0,OIL,2014-06-16 00:00:00,2014-06-26 00:00:00,7403
16/2-19 A,MDT ,          ,2291.7,0.0,OIL,2014-09-18 00:00:00,2014-09-26 00:00:00,7456
16/2-19 A,MDT ,          ,2281.0,0.0,OIL,2014-09-18 00:00:00,2014-09-26 00:00:00,7456
16/2-21,MDT ,          ,1946.6,0.0,OIL,2013-05-27 00:00:00,2013-06-14 00:00:00,7169
16/2-21,MDT ,          ,1937.0,0.0,OIL,2013-05-27 00:00:00,2013-06-14 00:00:00,7169
16/2-3,DST ,          ,1720.5,0.0,OIL,,2011-03-10 00:00:00,5551
16/2-4,MDT ,          ,1858.0,0.0,OIL,,,5625
16/2-6,DST ,          ,0.0,0.0, ,2010-09-11 00:00:00,,6374
16/2-7,MDT ,          ,1950.84,0.0,OIL,2011-08-13 00:00:00,2012-01-30 00:00:00,6561
16/2-7 A,MDT ,          ,2031.3,0.0,OIL,2011-09-19 00:00:00,2012-01-30 00:00:00,6711
16/2-9 S,MDT ,          ,1935.2,0.0,OIL,2011-03-11 00:00:00,,6615
16/2-9 S,MDT ,          ,1938.2,0.0,OIL,2011-03-11 00:00:00,,6615
16/2-9 S,MDT ,          ,1941.7,0.0,OIL,2011-03-11 00:00:00,,6615
16/3-4,DST ,          ,1939.6,1928.98,OIL,2011-06-20 00:00:00,2012-01-30 00:00:00,6553
16/3-4 A,MDT ,          ,2079.2,0.0,OIL,2011-07-12 00:00:00,2012-01-30 00:00:00,6629
16/3-5,MDT ,          ,1943.6,0.0,OIL,2013-02-03 00:00:00,2013-03-22 00:00:00,7046
16/3-5,MDT ,          ,0.0,1920.1,OIL,2013-02-03 00:00:00,2013-03-22 00:00:00,7046
16/3-6,MDT ,          ,1950.3,0.0,OIL,2013-07-02 00:00:00,2013-07-15 00:00:00,7182
16/3-6,MDT ,          ,1946.5,0.0,OIL,2013-07-02 00:00:00,2013-07-15 00:00:00,7182
16/4-4,DST ,          ,0.0,0.0,CONDENSATE,,2011-03-10 00:00:00,5441
16/4-6 S,DST ,          ,0.0,0.0,OIL,2013-04-23 00:00:00,2013-05-29 00:00:00,7098
16/4-6 S,MDT ,          ,1966.39,0.0,OIL,2013-04-04 00:00:00,2013-06-12 00:00:00,7098
16/4-6 S,MDT ,          ,1952.5,0.0,OIL,2013-04-04 00:00:00,2013-06-12 00:00:00,7098
16/4-9 S,DST ,          ,2002.0,1981.0,OIL,2015-08-03 01:25:00,2015-08-26 00:00:00,7631
16/4-9 S,DST ,          ,2002.0,1981.0,OIL,2015-08-03 02:45:00,2015-08-26 00:00:00,7631
16/5-3,MDT ,          ,1901.9,0.0,OIL,,2013-06-13 00:00:00,7123
16/5-4,DST ,          ,1933.0,0.0,OIL,2012-10-19 00:00:00,2013-10-08 00:00:00,7258
16/5-5,MDT ,          ,1977.0,0.0,OIL,,2014-06-17 00:00:00,7285
16/7-10,MDT ,          ,2348.7,0.0,CONDENSATE,2011-02-09 00:00:00,2011-10-21 00:00:00,6607
16/7-4,DST ,DST 1     ,2590.0,2597.0,CONDENSATE,1982-11-28 00:00:00,1991-06-21 00:00:00,91
16/7-4,DST ,"DST 1,1   ",2565.0,2572.0, ,1982-11-28 00:00:00,1980-01-01 00:00:00,91
16/7-4,DST ,DST2      ,2525.0,2535.0,CONDENSATE,1982-11-30 00:00:00,1991-06-21 00:00:00,91
16/7-4,DST ,"DST 2,1   ",2500.0,2535.0,CONDENSATE,1982-11-30 00:00:00,1980-01-01 00:00:00,91
16/7-7 S,DST ,DST1      ,2852.0,2785.0,OIL,1997-12-09 16:25:00,1997-12-16 00:00:00,3244
16/7-7 S,DST ,          ,0.0,0.0, ,1997-12-13 23:20:00,,3244
17/12-4,DST ,          ,0.0,0.0, ,,,6137
17/12-4 A,DST ,          ,0.0,0.0,OIL,,2011-06-17 00:00:00,6178
18/10-1,DST ,          ,2389.5,2402.0, ,,1991-10-28 00:00:00,342
2/12-1,DST ,DST1      ,4630.0,4647.0, ,1986-12-22 00:00:00,1991-02-28 00:00:00,1014
2/12-1,DST ,DST2      ,4600.0,4612.0, ,1986-12-18 00:00:00,1991-02-28 00:00:00,1014
2/1-9,DST ,          ,0.0,0.0, ,,1991-07-22 00:00:00,1667
2/1-9,DST ,DST1      ,4108.0,4078.0, ,1991-06-14 00:00:00,,1667
2/2-1,DST ,DST1      ,3715.0,3730.0, ,,1991-02-20 00:00:00,46
2/2-5,DST ,TEST-1    ,0.0,0.0, ,1992-02-12 19:30:00,1992-03-24 00:00:00,1846
2/4-17,DST ,          ,4340.9,4387.5, ,1992-01-19 20:00:00,1992-02-10 00:00:00,1792
2/4-21,MDT ,          ,0.0,5167.5,CONDENSATE,,2012-07-17 00:00:00,6736
2/4-21,MDT ,          ,0.0,5121.5,CONDENSATE,,2012-07-17 00:00:00,6736
2/4-21,MDT ,          ,0.0,5053.5,CONDENSATE,,2012-07-17 00:00:00,6736
2/4-21 A,MDT ,          ,0.0,5471.0,CONDENSATE,2012-07-01 00:00:00,2012-08-24 00:00:00,6933
2/4-21 A,MDT ,          ,0.0,5489.0,CONDENSATE,2012-07-01 00:00:00,2012-08-24 00:00:00,6933
2/4-22 S,MDT ,          ,0.0,0.0,OIL,,2015-06-04 00:00:00,7535
2/4-22 S,MDT ,          ,0.0,0.0,OIL,,2015-06-04 00:00:00,7535
2/4-22 S,MDT ,          ,0.0,0.0,OIL,,2015-06-04 00:00:00,7535
2/4-23 S,MDT ,          ,5233.4,0.0,CONDENSATE,,2015-11-09 00:00:00,7657
2/4-23 S,MDT ,          ,5203.1,0.0,CONDENSATE,,2015-11-09 00:00:00,7657
2/4-23 S,MDT ,          ,5004.3,0.0,CONDENSATE,,2015-11-09 00:00:00,7657
2/4-A-14,PROD,          ,3679.0,3482.0,OIL,1984-07-08 00:00:00,2000-10-02 00:00:00,592
2/4-A-3,DST ,          ,0.0,0.0, ,1996-03-11 00:00:00,1996-04-15 00:00:00,559
2/4-A-5,DST ,          ,0.0,0.0, ,1996-03-11 00:00:00,1996-04-15 00:00:00,576
2/4-A-7,DST ,          ,0.0,0.0, ,1996-03-10 00:00:00,1996-04-15 00:00:00,579
2/4-A-9,DST ,          ,0.0,0.0, ,1996-03-12 00:00:00,1996-04-15 00:00:00,583
2/4-B-10,PROD,          ,4173.0,4123.0,OIL,1988-07-17 00:00:00,2000-10-02 00:00:00,615
2/4-B-12,DST ,          ,0.0,0.0, ,1996-02-22 00:00:00,1996-04-15 00:00:00,616
2/4-B-13,DST ,          ,2956.0,0.0, ,1996-02-21 00:00:00,1996-04-15 00:00:00,1848
2/4-B-16,DST ,          ,0.0,0.0, ,1996-02-23 00:00:00,1996-04-15 00:00:00,620
2/4-B-18,DST ,          ,3278.0,0.0, ,1996-03-13 00:00:00,1996-04-15 00:00:00,624
2/4-B-19,DST ,          ,3091.0,0.0, ,1996-03-13 00:00:00,1996-04-15 00:00:00,625
2/4-B-21,DST ,          ,3381.0,0.0, ,1996-03-08 00:00:00,1996-04-15 00:00:00,629
2/4-B-23,DST ,          ,3401.0,0.0, ,1996-03-13 00:00:00,1996-04-15 00:00:00,633
2/4-B-7,DST ,          ,3685.0,0.0, ,1996-03-04 00:00:00,1996-04-15 00:00:00,606
2/4-B-8,DST ,          ,2935.0,0.0, ,1996-03-09 00:00:00,1996-04-15 00:00:00,608
2/4-B-9,PROD,          ,4447.0,4233.0,OIL,1984-01-04 00:00:00,2000-10-02 00:00:00,611
2/4-C-14,DST ,          ,0.0,0.0, ,1996-02-28 00:00:00,1996-04-15 00:00:00,663
2/4-C-17,DST ,          ,0.0,0.0, ,1996-03-09 00:00:00,1996-04-15 00:00:00,1572
2/4-C-8,DST ,          ,0.0,0.0, ,1996-03-02 00:00:00,1996-04-15 00:00:00,652
2/4-E-13,DST ,          ,0.0,0.0, ,1996-04-08 00:00:00,1995-04-17 00:00:00,737
2/4-E-6,DST ,          ,0.0,0.0, ,1996-04-06 00:00:00,1996-04-17 00:00:00,1786
2/4-X-47,PROD,          ,4581.0,4002.0,OIL,1997-08-12 00:00:00,2000-10-02 00:00:00,3157
2/5-11,DST ,DST1      ,3381.0,3363.0, ,1997-10-28 21:45:00,1997-12-23 00:00:00,3084
